epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5668.39,0.5172,0.41328,1.68711,0.89455,0.94197,0.93532,0.88061,0.33168,0.34706,1.47645,0.000416,0.000416,0.000416
82,5748.1,0.55304,0.41694,1.6624,0.89582,0.9265,0.93238,0.87684,0.33396,0.34874,1.4618,0.0003962,0.0003962,0.0003962
83,5817.1,0.53526,0.41983,1.64897,0.87842,0.92232,0.92396,0.86815,0.34116,0.35971,1.44569,0.0003764,0.0003764,0.0003764
84,5891.18,0.49909,0.39479,1.6568,0.87747,0.92456,0.92451,0.8743,0.32275,0.34237,1.44767,0.0003566,0.0003566,0.0003566
85,5963.12,0.51123,0.39331,1.686,0.87532,0.93424,0.92467,0.87634,0.31562,0.34305,1.44112,0.0003368,0.0003368,0.0003368
86,6029.86,0.52282,0.39665,1.66107,0.88664,0.91489,0.93218,0.88002,0.29856,0.34193,1.45255,0.000317,0.000317,0.000317
87,6097.64,0.50002,0.39037,1.68048,0.87881,0.92263,0.93562,0.88107,0.29607,0.33548,1.46949,0.0002972,0.0002972,0.0002972
88,6165.2,0.4998,0.38185,1.63656,0.89339,0.9077,0.9334,0.88135,0.29872,0.33126,1.45429,0.0002774,0.0002774,0.0002774
89,6233.31,0.50318,0.38834,1.68574,0.89041,0.9265,0.93729,0.88305,0.30108,0.32743,1.45453,0.0002576,0.0002576,0.0002576
90,6310.95,0.52636,0.39952,1.70795,0.89249,0.93133,0.93449,0.88052,0.30664,0.33177,1.44216,0.0002378,0.0002378,0.0002378
91,6381.94,0.39883,0.36262,1.47526,0.88119,0.94971,0.93191,0.87594,0.32018,0.33733,1.41583,0.000218,0.000218,0.000218
92,6448.29,0.39603,0.35662,1.5647,0.88207,0.95484,0.92785,0.8723,0.31471,0.33389,1.40841,0.0001982,0.0001982,0.0001982
93,6506.37,0.40232,0.35235,1.43855,0.88369,0.95526,0.92784,0.87258,0.2995,0.3344,1.39296,0.0001784,0.0001784,0.0001784
94,6569.15,0.39846,0.33635,1.48675,0.89332,0.93941,0.92587,0.87526,0.29534,0.33121,1.38907,0.0001586,0.0001586,0.0001586
95,6635.46,0.3908,0.33399,1.41146,0.89491,0.93887,0.9261,0.87611,0.30579,0.32836,1.39014,0.0001388,0.0001388,0.0001388
96,6700.84,0.40769,0.34216,1.48564,0.89491,0.93887,0.92584,0.8757,0.31281,0.33634,1.38343,0.000119,0.000119,0.000119
97,6771.1,0.39604,0.34267,1.46973,0.89487,0.94004,0.92561,0.87493,0.29949,0.33292,1.37606,9.92e-05,9.92e-05,9.92e-05
98,6838.53,0.371,0.31415,1.46398,0.89668,0.9381,0.92291,0.87267,0.29447,0.33552,1.36527,7.94e-05,7.94e-05,7.94e-05
99,6907.27,0.36689,0.32534,1.43952,0.89638,0.9381,0.92305,0.87465,0.2963,0.33538,1.36756,5.96e-05,5.96e-05,5.96e-05
100,6979.91,0.36669,0.32098,1.40162,0.89624,0.9381,0.92169,0.87378,0.29273,0.33314,1.37985,3.98e-05,3.98e-05,3.98e-05
